id,name
240,"Action,Horror,Sci-Fi"
241,Drama
242,"Action,Drama,Thriller"
243,"Comedy,Horror,Sci-Fi"
244,"Crime,Drama,Thriller"
245,"Drama,Thriller"
246,"Drama,Thriller"
247,Drama
248,"Comedy,Romance"
249,"Comedy,Thriller"
250,"Action,Crime,Fantasy"
251,"Crime,Drama"
252,"Action,Sci-Fi"
253,Comedy
254,"Action,Drama"
255,Drama
256,"Drama,Thriller"
257,"Adventure,Comedy,Drama"
258,Thriller
259,"Action,Crime,Thriller"
260,"Adventure,Animation,Comedy"
261,"Biography,Crime,Drama"
262,"Crime,Horror"
263,"Comedy,Drama"
264,Drama
265,"Comedy,Family,Mystery"
266,"Animation,Comedy,Fantasy"
267,Comedy
268,"Fantasy,Horror"
269,"Adventure,Animation,Drama"
270,"Drama,Mystery,Thriller"
271,"Action,Romance,Thriller"
272,"Comedy,Drama"
273,"Action,Adventure,Fantasy"
274,"Adventure,Biography,Drama"
275,"Action,Adventure,Drama"
276,"Action,Adventure,Drama"
277,"Drama,Family"
278,"Action,Adventure,Comedy"
279,Drama
280,"Action,Comedy,Crime"
281,"Comedy,Drama,Mystery"
282,"Comedy,Romance"
283,"Crime,Drama,Mystery"
284,"Crime,Drama,Musical"
285,"Crime,Drama,Thriller"
286,Action
287,"Biography,Drama"
288,"Adventure,Animation,Comedy"
289,"Drama,Musical,Sport"
290,"Drama,Romance"
291,"Crime,Drama,Thriller"
292,Thriller
293,Drama
294,Comedy
295,"Comedy,Family,Fantasy"
296,Comedy
297,"Action,Adventure,Drama"
298,"Drama,History"
299,"Drama,War"
300,Horror
301,"Comedy,Crime,Romance"
302,"Drama,Romance,Thriller"
303,"Comedy,Drama,Romance"
304,"Comedy,Crime,Drama"
305,"Action,Drama,Romance"
306,"Action,Comedy,Crime"
307,"Comedy,Drama,Mystery"
308,"Action,Adventure,Comedy"
309,"Action,Adventure,Drama"
310,"Comedy,Romance"
311,Drama
312,"Comedy,Drama,Romance"
313,"Crime,Horror,Mystery"
314,Comedy
315,Horror
316,Comedy
317,"Comedy,Drama"
318,Thriller
319,"Comedy,Crime,Thriller"
320,"Action,Adventure,Animation"
321,"Comedy,Romance"
322,"Drama,Romance"
323,"Comedy,Drama,Romance"
324,"Comedy,Romance"
325,Comedy
326,Comedy
327,"Horror,Mystery,Thriller"
328,Drama
329,Thriller
330,"Biography,Drama"
331,"Action,Adventure,Fantasy"
332,"Animation,Drama,History"
333,"Drama,Mystery,Thriller"
334,"Adventure,Comedy,Family"
335,"Crime,Drama"
336,"Comedy,Romance,Western"
337,"Comedy,Crime,Drama"
338,"Comedy,Sci-Fi"
339,"Comedy,Romance"
340,"Biography,Drama,Music"
341,Comedy
342,Comedy
343,"Adventure,Comedy,Romance"
344,"Action,Comedy,Romance"
345,Comedy
346,"Crime,Drama,Thriller"
347,"Action,Adventure,Drama"
348,Thriller
349,"Comedy,Thriller"
350,"Comedy,Drama"
351,Drama
352,"Drama,Romance"
353,Comedy
354,"Action,Sci-Fi"
355,"Drama,Thriller"
356,Thriller
357,"Drama,Thriller"
358,"Comedy,Crime,Drama"
359,"Drama,Western"
360,"Action,Crime,Drama"
361,Drama
362,Comedy
363,"Action,Drama"
364,"Action,Comedy,Sci-Fi"
365,"Biography,Drama"
366,Drama
367,"Comedy,Fantasy"
368,"Comedy,Drama"
369,"Comedy,Drama,Sport"
370,"Comedy,Sci-Fi"
371,"Biography,Drama"
372,"Romance,Sci-Fi"
373,Drama
374,"Action,Crime,Mystery"
375,"Action,Adventure,Animation"
376,"Action,Comedy,Fantasy"
377,"Action,Sci-Fi"
378,"Crime,Drama,Thriller"
379,"Adventure,Comedy,Drama"
380,"Comedy,Drama,Romance"
381,"Crime,Drama,Thriller"
382,"Crime,Drama,Music"
383,Comedy
384,"Comedy,Musical,Romance"
385,Drama
386,"Drama,Romance"
387,Thriller
388,"Comedy,Thriller"
389,"Action,Adventure,Drama"
390,Drama
391,"Comedy,Music"
392,Comedy
393,"Adventure,Sci-Fi,Thriller"
394,"Comedy,Drama,Romance"
395,"Drama,Western"
396,"Crime,Mystery,Thriller"
397,"Biography,Drama"
398,"Action,Adventure,Romance"
399,"Crime,Drama,Thriller"
400,"Action,Comedy,Crime"
401,Comedy
402,"Action,Crime,Thriller"
403,Drama
404,"Drama,Romance,Thriller"
405,"Action,Crime,Thriller"
406,"Action,Adventure,Comedy"
407,"Adventure,Comedy,Family"
408,"Adventure,Family"
409,"Comedy,Drama"
410,"Action,Adventure,Sci-Fi"
411,"Comedy,Fantasy"
412,Drama
413,Comedy
414,"Comedy,Crime,Mystery"
415,"Crime,Drama,Mystery"
416,"Crime,Drama,Thriller"
417,"Drama,Romance,Western"
418,Drama
419,"Action,Crime,Drama"
420,"Drama,Romance"
421,"Action,Adventure,Thriller"
422,"Comedy,Crime"
423,Drama
424,"Comedy,Drama"
425,"Drama,Romance"
426,"Comedy,Drama,Romance"
427,"Action,Crime,Thriller"
428,"Crime,Drama"
429,"Action,Drama,History"
430,"Comedy,Romance"
431,Comedy
432,"Horror,Thriller"
433,"Action,Horror,Sci-Fi"
434,"Action,Mystery,Thriller"
435,"Action,Drama"
436,Drama
437,Comedy
438,"Mystery,Thriller"
439,"Comedy,Musical"
440,"Drama,Sport"
441,"Comedy,Crime,Thriller"
442,Drama
443,"Drama,Thriller"
444,"Action,Adventure,Crime"
445,"Drama,Fantasy,Romance"
446,"Adventure,Comedy,Fantasy"
447,"Comedy,Horror,Mystery"
448,"Drama,Romance"
449,"Drama,Horror"
450,"Drama,Fantasy,Romance"
451,"Comedy,Crime"
452,"Action,Adventure,Drama"
453,"Action,Adventure,Fantasy"
454,Family
455,"Comedy,Crime"
456,"Action,Drama,Fantasy"
457,"Adventure,Comedy,Crime"
458,Drama
459,"Biography,Drama,History"
460,"Action,Adventure,Drama"
461,"Action,Crime,Drama"
462,"Crime,Drama,Thriller"
463,"Crime,Drama,Thriller"
464,"Drama,Mystery,Thriller"
465,"Comedy,Drama,Music"
466,"Drama,Music,Thriller"
467,"Comedy,Drama"
468,Thriller
469,"Comedy,Sport"
470,"Drama,History,Romance"
471,"Comedy,Drama"
472,"Comedy,Romance"
473,Drama
474,"Crime,Thriller"
475,"Drama,Thriller"
476,"Comedy,Romance"
477,Thriller
478,"Comedy,Mystery,Romance"
479,"Comedy,Crime,Romance"
480,"Drama,Romance"
481,"Adventure,Comedy,Family"
482,"Biography,Drama,Music"
483,Drama
484,"Comedy,Crime,Fantasy"
485,Drama
486,"Action,Crime,Drama"
487,"Crime,Drama,Mystery"
488,"Horror,Mystery"
489,"Drama,Family"
490,"Comedy,Musical"
491,Comedy
492,"Comedy,Music"
493,"Comedy,Drama"
494,Drama
495,"Comedy,Romance"
496,"Adventure,Family,Fantasy"
497,"Action,Adventure,Comedy"
498,Drama
499,"Comedy,Romance"
500,"Comedy,Crime,Drama"
501,"Action,Adventure,Drama"
502,Thriller
503,"Drama,Sport"
504,"Crime,Thriller"
505,"Action,Crime,Thriller"
506,"Comedy,Crime,Drama"
507,"Comedy,Crime"
508,Thriller
509,Comedy
510,Comedy
511,"Comedy,Crime"
512,"Action,Sci-Fi,Thriller"
513,"Action,Crime,Thriller"
514,Drama
515,"Drama,Thriller"
516,"Biography,Drama"
517,"Horror,Thriller"
518,"Drama,Romance"
519,Drama
520,Drama
521,"Action,Drama"
522,Comedy
523,"Comedy,Drama,Romance"
524,"Adventure,Drama,Romance"
525,"Comedy,Family,Sport"
526,"Action,Crime,Thriller"
527,"Comedy,Crime"
528,"Action,Crime,Drama"
529,"Drama,Romance,Thriller"
530,Comedy
531,"Drama,Thriller"
532,"Drama,Romance"
533,"Action,Drama,Thriller"
534,"Comedy,Drama,Romance"
535,"Action,Drama"
536,"Drama,Thriller"
537,"Animation,Comedy,Musical"
538,"Drama,Romance"
539,"Comedy,Drama"
540,"Crime,Horror,Thriller"
541,"Crime,Drama"
542,"Comedy,Crime,Drama"
543,"Comedy,Romance"
544,"Action,Fantasy"
545,Comedy
546,Comedy
547,"Comedy,Drama,Romance"
548,"Comedy,Drama,Romance"
549,"Comedy,Crime"
550,"Drama,Family,Sci-Fi"
551,Comedy
552,"Adventure,Animation,Comedy"
553,"Drama,Romance,Thriller"
554,"Comedy,Thriller"
555,"Drama,Romance"
556,Drama
557,Comedy
558,"Comedy,Romance"
559,"Adventure,Biography,Drama"
560,"Crime,Drama"
561,Comedy
562,"Mystery,Thriller"
563,"Drama,Thriller"
564,"Drama,Romance,Sport"
565,"Comedy,Crime"
566,"Comedy,Drama,Romance"
567,"Action,Sci-Fi,Thriller"
568,"Action,Animation"
569,"Crime,Drama,Thriller"
570,"Biography,Comedy,Drama"
571,"Drama,Music"
572,"Comedy,Drama"
573,"Drama,Romance,War"
574,Drama
575,"Crime,Drama,Thriller"
576,"Comedy,Drama"
577,"Drama,Sci-Fi"
578,Thriller
579,"Comedy,Drama"
580,"Comedy,Drama,Music"
581,"Drama,Romance"
582,"Drama,Romance"
583,"Comedy,Sci-Fi"
584,Comedy
585,Drama
586,Drama
587,"Comedy,Romance"
588,"Crime,Drama,Thriller"
589,"Drama,Mystery,Romance"
590,"Comedy,Romance"
591,"Action,Comedy,Crime"
592,"Comedy,Drama"
593,"Comedy,Drama"
594,"Horror,Thriller"
595,"Comedy,Romance"
596,Drama
597,Comedy
